secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
107,87,176,0.96373,28.7856,0,236,8.6,-0.57030997,44.84482903,0,0.252216,8,0,51,75,71.5,19,19.5,0,0,0,0
108,88,176,0.97175,28.9224,0,280,8.6,-0.57032665,44.84490020,0,0.252216,8,0,55,75,71.5,19,19.5,0,0,0,0
109,88,176,0.97979,29.0556,0,292,8.6,-0.57034434,44.84497152,0,0.252216,8,0,52,84.5,82.5,23,24.5,0,0,0,0
110,87,175,0.98783,28.7532,0,282,8.4,-0.57036202,44.84504277,0,0,8,0,52,81.5,82,21.5,23.5,0,0,0,0
111,87,176,0.99579,28.5516,0,280,8.2,-0.57037870,44.84511335,0,-0.247796,8,0,52,81.5,82,21.5,23.5,0,0,0,0
112,87,175,1.00375,28.7856,0,361,8.4,-0.57039656,44.84518392,0,0,8,0,52,79.5,82,23.5,23.5,0,0,0,0
113,87,175,1.01169,28.2816,0,327,8.6,-0.57041399,44.84525425,0,0,8,0,50,83.5,81.5,24.5,24,0,0,0,0
114,86,175,1.01942,27.846,0,292,8.8,-0.57042640,44.84532323,0,0.0109241,8,0,52,87,87,25.5,22.5,0,0,0,0
115,86,175,1.02693,26.604,0,268,9,-0.57043713,44.84539045,0,0.277236,8,0,48,81,87,25,22.5,0,0,0,0
116,87,176,1.03435,27.0072,0,268,9,-0.57045012,44.84545659,0,0.528177,8,0,50,81,87,25,22.5,0,0,0,0
117,86,175,1.04163,25.9308,0,245,9,-0.57046403,44.84552129,0,0.528177,8,0,50,78,88,21.5,25.5,0,0,0,0
118,86,175,1.04896,27.2772,0,269,9.2,-0.57047535,44.84558684,0,0.801028,8,0,53,78.5,80,23,22.5,0,0,0,0
119,86,176,1.0562,25.2936,0,256,9.2,-0.57048532,44.84565155,0,0.801028,8,0,53,84,74.5,24.5,20.5,0,0,0,0
120,86,176,1.06368,27.8136,0,226,9,-0.57049764,44.84571835,0,0.782405,8,0,54,77.5,81,22.5,23,0,0,0,0
121,86,176,1.07153,28.0152,0,252,9.2,-0.57051256,44.84578817,0,1.28844,8,0,54,77.5,81,22.5,23,0,0,0,0
122,86,176,1.07933,27.8136,0,244,9.4,-0.57052505,44.84585774,0,1.29359,8,0,54,77.5,81,22.5,23,0,0,0,0
123,86,176,1.08693,27.6444,0,244,9.4,-0.57053503,44.84592581,0,1.0417,8,0,55,81.5,77,23.5,21,0,0,0,0
124,86,176,1.09432,26.0676,0,232,9.4,-0.57054198,44.84599211,0,0.782971,8,0,53,78,79.5,22.5,21,0,0,0,0
125,87,177,1.10187,27.8136,0,230,9.4,-0.57054802,44.84605991,0,0.516659,8,0,58,77.5,79.5,21.5,21,0,0,0,0
126,87,177,1.10975,28.62,0,240,9.2,-0.57055741,44.84613057,0,0.262852,8,0,51,77.5,79.5,21.5,21,0,0,0,0
127,87,177,1.11765,28.7208,0,218,9,-0.57056696,44.84620132,0,0,8,0,51,76.5,74.5,22.5,20,0,0,0,0
128,87,177,1.12573,29.358,0,255,9,-0.57057434,44.84627390,0,-0.263164,8,0,52,74.5,76,20.5,20.5,0,0,0,0
